,Время,Сумма
615,07.03.2020,514612.3
616,08.03.2020,353649.55
617,09.03.2020,276362.84
618,10.03.2020,345472.36
619,11.03.2020,288588.74
620,12.03.2020,347017.86
621,13.03.2020,387247.56
622,14.03.2020,404603.04
623,15.03.2020,326794.77
624,16.03.2020,333737.49
625,17.03.2020,454028.05
626,18.03.2020,358261.92
627,19.03.2020,372167.85
628,20.03.2020,438303.42
629,21.03.2020,395955.47
630,22.03.2020,341076.66
631,23.03.2020,350998.14
632,24.03.2020,369523.08
633,25.03.2020,381225.73
634,26.03.2020,444530.91
635,27.03.2020,558750.23
636,28.03.2020,540980.24
637,29.03.2020,426878.55
638,30.03.2020,449470.66
639,31.03.2020,576065.66
640,01.04.2020,457906.69
641,02.04.2020,506135.95
642,03.04.2020,486510.93
643,04.04.2020,475232.44
644,05.04.2020,310917.14
645,06.04.2020,372449.22
646,07.04.2020,431080.92
647,08.04.2020,398083.9
648,09.04.2020,457651.34
649,10.04.2020,576513.34
650,11.04.2020,540418.84
651,12.04.2020,366329.39
652,13.04.2020,476131.45
653,14.04.2020,457147.92
654,15.04.2020,486371.53
655,16.04.2020,495423.69
656,17.04.2020,494693.86
657,18.04.2020,569231.33
658,19.04.2020,364928.5
659,20.04.2020,413117.66
660,21.04.2020,441480.11
661,22.04.2020,450655.67
662,23.04.2020,502070.06
663,24.04.2020,507068.91
664,25.04.2020,491169.11
665,26.04.2020,464764.82
666,27.04.2020,471140.74
667,28.04.2020,548335.4
668,29.04.2020,571622.18
669,30.04.2020,519960.91
670,01.05.2020,488816.72
671,02.05.2020,568010.23
672,03.05.2020,586986.38
673,04.05.2020,588813.77
674,05.05.2020,519628.96
675,06.05.2020,535859.9
676,07.05.2020,568008.53
677,08.05.2020,686297.13
678,09.05.2020,616109.29
679,10.05.2020,498473.73
680,11.05.2020,440587.86
681,12.05.2020,523691.67
682,13.05.2020,495247.95
683,14.05.2020,467011.42
684,15.05.2020,549652.23
685,16.05.2020,532858.03
686,17.05.2020,447031.75
687,18.05.2020,473479.55
688,19.05.2020,513182.67
689,20.05.2020,448942.7
690,21.05.2020,484381.82
691,22.05.2020,645489.98
692,23.05.2020,632582.09
693,24.05.2020,499434.94
694,25.05.2020,484397.85
695,26.05.2020,536048.01
696,27.05.2020,531890.76
697,28.05.2020,550174.36
698,29.05.2020,653710.94
699,30.05.2020,658193.09
700,31.05.2020,506418.61
701,01.06.2020,444049.22
702,02.06.2020,531887.27
703,03.06.2020,506115.09
704,04.06.2020,508162.24
705,05.06.2020,586437.11
706,06.06.2020,559543.34
707,07.06.2020,500602.71
708,08.06.2020,506375.67
709,09.06.2020,537724.23
710,10.06.2020,523218.09
711,11.06.2020,750623.92
712,12.06.2020,722329.62
713,13.06.2020,624072.47
714,14.06.2020,505024.3
715,15.06.2020,535010.29
716,16.06.2020,493559.23
717,17.06.2020,572666.34
718,18.06.2020,556018.19
719,19.06.2020,683495.17
720,20.06.2020,711620.77
721,21.06.2020,533190.22
722,22.06.2020,504915.24
723,23.06.2020,560041.03
724,24.06.2020,602059.67
725,25.06.2020,550764.84
726,26.06.2020,756641.93
727,27.06.2020,553524.41
728,28.06.2020,567602.14
729,29.06.2020,487571.8
730,30.06.2020,589763.93
731,01.07.2020,545043.76
732,02.07.2020,458559.51
733,03.07.2020,595812.62
734,04.07.2020,624629.93
735,05.07.2020,448178.54
736,06.07.2020,490724.37
737,07.07.2020,473465.85
738,08.07.2020,507428.55
739,09.07.2020,521184.04
740,10.07.2020,653904.17
741,11.07.2020,633720.83
742,12.07.2020,528711.71
743,13.07.2020,460975.26
744,14.07.2020,567437.2
745,15.07.2020,514840.38
746,16.07.2020,581113.35
747,17.07.2020,739748.6
748,18.07.2020,632873.95
749,19.07.2020,527114.8
750,20.07.2020,541606.36
751,21.07.2020,507401.47
752,22.07.2020,467918.14
753,23.07.2020,447777.82
754,24.07.2020,582470.68
755,25.07.2020,597895.44
756,26.07.2020,472170.79
757,27.07.2020,517927.64
758,28.07.2020,516462.52
759,29.07.2020,472349.57
760,30.07.2020,486561.73
761,31.07.2020,553573.48
762,01.08.2020,625250.84
763,02.08.2020,500198.8
764,03.08.2020,462849.1
765,04.08.2020,498385.93
766,05.08.2020,418412.61
767,06.08.2020,519273.67
768,07.08.2020,617675.05
769,08.08.2020,630024.6
770,09.08.2020,489684.85
771,10.08.2020,524662.32
772,11.08.2020,499391.28
773,12.08.2020,486386.56
774,13.08.2020,512261.95
775,14.08.2020,621575.52
776,15.08.2020,691025.14
777,16.08.2020,482563.74
778,17.08.2020,495539.7
779,18.08.2020,472700.8
780,19.08.2020,535834.1
781,20.08.2020,508216.73
782,21.08.2020,611331.35
783,22.08.2020,538999.15
784,23.08.2020,441170.19
785,24.08.2020,449449.46
786,25.08.2020,389913.27
787,26.08.2020,462762.54
788,27.08.2020,420403.36
789,28.08.2020,577204.55
790,29.08.2020,543733.0
791,30.08.2020,405309.83
792,31.08.2020,360791.77
793,01.09.2020,379695.52
794,02.09.2020,425126.7
795,03.09.2020,405748.54
796,04.09.2020,548497.35
797,05.09.2020,492148.23
798,06.09.2020,424360.48
799,07.09.2020,386708.84
